source,series,author,english_title,original_title,translator,pub_year,place,publisher,country,original_year,era,canonical_author,canonical_work
Internet Archive,,"Augustine, of Hippo, Saint",The city of God against the pagans,,,1957,,"Cambridge, Harvard University Press",,,,"Augustine, of Hippo, Saint",The city of God against the pagans
Internet Archive,,"Cicero, Marcus Tullius","Letters to his friends, with an English translation by W. Glynn Williams. --",,,1958,,"Cambridge, Harvard University Press, 1958-60",,,,"Cicero, Marcus Tullius","Letters to his friends, with an English translation by W. Glynn Williams. --"
Internet Archive,,"Cicero, Marcus Tullius","Speeches : Pro Publio Quinctio, Pro Sexto Roscio Amerino, Pro Quinto Roscio Comoedo, De lege agraria I, II, III. With an English translation by John Henry Freese. --",,,1961,,"Cambridge, Mass., Harvard University Press [1961]",,,,"Cicero, Marcus Tullius","Speeches : Pro Publio Quinctio, Pro Sexto Roscio Amerino, Pro Quinto Roscio Comoedo, De lege agraria I, II, III. With an English translation by John Henry Freese. --"
Internet Archive,,"Frontinus, Sextus Julius","The Stratagems, and the Aqueducts of Rome. With an English translation by Charles E. Bennett, the translation of the Aqueducts being a revision of that of Clemens Herschel. Edited and prepared for the...",,,1961,,"Cambridge, Harvard University Press",,,,"Frontinus, Sextus Julius","The Stratagems, and the Aqueducts of Rome. With an English translation by Charles E. Bennett, the translation of the Aqueducts being a revision of that of Clemens Herschel. Edited and prepared for the..."
Internet Archive,,"Sidonius, C. Sollius Modestus Appollinaris",Poems and letters,,,1963,,"Cambridge, Mass. : Harvard University Press ; London : W. Heinemann",,,,"Sidonius, C. Sollius Modestus Appollinaris",Poems and letters
Internet Archive,,"Thomas, Aquinas, Saint","Summa theologiae : Latin text and English translation, introductions, notes, appendices, and glossaries",,,1964,,"[Cambridge, England] : Blackfriars ; New York : McGraw-Hill",,,,"Thomas, Aquinas, Saint","Summa theologiae : Latin text and English translation, introductions, notes, appendices, and glossaries"
Internet Archive,,,"Babrius and Phaedrus : newly edited and translated into English, together with an historical introduction and a comprehensive survey of Greek and Latin fables in the Aesopic tradition",,,1965,,"London : W. Heinemann ; Cambridge, Massachusetts : Harvard University Press",,,,,"Babrius and Phaedrus : newly edited and translated into English, together with an historical introduction and a comprehensive survey of Greek and Latin fables in the Aesopic tradition"
Internet Archive,,"Sidonius, C. Sollius Modestus Apollinaris",Poems and letters; with an English translation,,,1965,,"Cambridge, Mass., Harvard University Press; London, W. Heinemann Ltd.",,,,"Sidonius, C. Sollius Modestus Apollinaris",Poems and letters; with an English translation
Internet Archive,,"Catullus, Gaius Valerius","Catullus, Tibullus, and Pervigilium Veneris",,,1966,,"Cambridge, Mass. : Harvard University Press ; London : W. Heinemann",,,,"Catullus, Gaius Valerius","Catullus, Tibullus, and Pervigilium Veneris"
Internet Archive,,"Varro, Marcus Terentius",Varro on the Latin language,,,1967,,"Cambridge, Mass. : Harvard University Press ; London : Heinemann",,,,"Varro, Marcus Terentius",Varro on the Latin language
Internet Archive,,"Lucretius Carus, Titus",The way things are the De rerum natura of Titus Lucretius Carus,,,1968,,"Bloomington, Indiana University Press",,,,"Lucretius Carus, Titus",The way things are the De rerum natura of Titus Lucretius Carus
Internet Archive,,"Pliny, the Younger","Letters and Panegyricus [of] Pliny. 1, Letters. Books 1-7",,,1969,,London : Heinemann,,,,"Pliny, the Younger","Letters and Panegyricus [of] Pliny. 1, Letters. Books 1-7"
Internet Archive,,"Ovid, 43 B.C.-17 A.D. or 18 A.D","Ovid's Amores, Book 1;",,,1973,,"Oxford, Clarendon Press",,,,"Ovid, 43 B.C.-17 A.D. or 18 A.D","Ovid's Amores, Book 1;"
Internet Archive,,"Catullus, Gaius Valerius",Selected poems of Catullus,,,1974,,New York : Mason & Lipscomb,,,,"Catullus, Gaius Valerius",Selected poems of Catullus
Internet Archive,,"Plautus, Titus Maccius","Plautus, in five volumes",,,1977,,"Cambridge, Mass. : Harvard University Press ; London : W. Heinemann",,,,"Plautus, Titus Maccius","Plautus, in five volumes"
Internet Archive,,Martial,The epigrams [of] Martial,,,1978,,Harmondsworth : Penguin,,,,Martial,The epigrams [of] Martial
Internet Archive,,,"The Racovian catechism : with notes and illustrations, translated from the Latin ; to which is prefixed a sketch of the history of Unitarianism in Poland and the adjacent countries",,,1818,,"London : Printed for Longman, Hurst, Rees, Orme, and Brown",,,,,"The Racovian catechism : with notes and illustrations, translated from the Latin ; to which is prefixed a sketch of the history of Unitarianism in Poland and the adjacent countries"
Internet Archive,,"Rees, Thomas","The Racovian catechism : with notes and illustrations, translated from the Latin ; to which is prefixed a sketch of the history of Unitarianism in Poland and the adjacent countries",,,1818,,"London : Printed for Longman, Hurst, Rees, Orme, and Brown",,,,"Rees, Thomas","The Racovian catechism : with notes and illustrations, translated from the Latin ; to which is prefixed a sketch of the history of Unitarianism in Poland and the adjacent countries"
Internet Archive,,Aesop,"Fabulae Aesopi selectae : or, Select fables of Aesop ; with an English translation, more literal than any yet extant ; designed for the readier instruction of beginners in the Latin tongue",,,1802,,Philadelphia : Printed for John Conrad & Co. ... [by] T. L. Plowman,,,,Aesop,"Fabulae Aesopi selectae : or, Select fables of Aesop ; with an English translation, more literal than any yet extant ; designed for the readier instruction of beginners in the Latin tongue"
Internet Archive,,"Pym, Dora",Readings from the literature of Ancient Rome in English translations,,,1922,,"London [etc.] G. G. Harrap & co., ltd",,,,"Pym, Dora",Readings from the literature of Ancient Rome in English translations
Internet Archive,,"Magie, David",The Scriptores Historiae Augustae / Vol.3,,,1932,,London : Heinemann; New York: G.P. Putnam's Sons,,,,"Magie, David",The Scriptores Historiae Augustae / Vol.3
Internet Archive,,"Varro, Marcus Terentius",On the Latin language,,,1938,,London : W. Heinemann,,,,"Varro, Marcus Terentius",On the Latin language
Internet Archive,,"Cicero, Marcus Tullius, author","Cicero. 10, In Catilinam I-IV ; Pro Murena ; Pro Sulla ; Pro Flacco",,,1977,,"Cambridge, Mass. : Harvard University Press ; London : W. Heinemann",,,,"Cicero, Marcus Tullius, author","Cicero. 10, In Catilinam I-IV ; Pro Murena ; Pro Sulla ; Pro Flacco"
Internet Archive,,"Andrews, Henry Charles, active 1799-1828, author","The heathery, or, A monograph of the genus Erica : containing coloured engravings, with Latin and English descriptions, dissections, etc. of all the known species of that extensive and distinguished t...",,,1845,,London : Henry G. Bohn,,,,"Andrews, Henry Charles, active 1799-1828, author","The heathery, or, A monograph of the genus Erica : containing coloured engravings, with Latin and English descriptions, dissections, etc. of all the known species of that extensive and distinguished t..."
Internet Archive,,"Plautus, Titus Maccius",The comedies of Plautus,,,1852,,London : Bohn,,,,"Plautus, Titus Maccius",The comedies of Plautus
Internet Archive,,"Catullus, Gaius Valerius","The works of Catullus and Tibullus, and the Vigil of Venus",,,1854,,London : Henry G. Bohn,,,,"Catullus, Gaius Valerius","The works of Catullus and Tibullus, and the Vigil of Venus"
Internet Archive,,,The ante-Nicene fathers : translations of the writings of the Fathers down to A.D. 325,,,1885,,Buffalo : Christian Literature Pub. Co.,,,,,The ante-Nicene fathers : translations of the writings of the Fathers down to A.D. 325
Internet Archive,,"Cicero, Marcus Tullius","The correspondence of M. Tullius Cicero : arranged according to its chronological order ; with a revision of the text, a commentary, and introductory essays",,,1885,,"Dublin : Hodges, Figgis",,,,"Cicero, Marcus Tullius","The correspondence of M. Tullius Cicero : arranged according to its chronological order ; with a revision of the text, a commentary, and introductory essays"
Internet Archive,,"Cyprian, Saint, Bishop of Carthage","St. Cyprian on the Lord's prayer [microform] ; an English translation, with introduction",,,1914,,"London [etc.] : Society for promoting Christian knowledge; New York, E.S. Gorham",,,,"Cyprian, Saint, Bishop of Carthage","St. Cyprian on the Lord's prayer [microform] ; an English translation, with introduction"
Internet Archive,,"Cicero, Marcus Tullius",The speeches with an English translation. In Catilinam I-IV. Pro Murena. Pro Sulla. Pro Flacco,,,1959,,"Cambridge, Mass., Harvard University Press",,,,"Cicero, Marcus Tullius",The speeches with an English translation. In Catilinam I-IV. Pro Murena. Pro Sulla. Pro Flacco
Internet Archive,,"David Magie, Susan Helen Ballou",The Scriptores historiae augustae,,,1960,,"Cambridge, Mass., Harvard University Press",,,,"David Magie, Susan Helen Ballou",The Scriptores historiae augustae
Internet Archive,,"Plautus, Titus Maccius, author",The rope. Amphitryo. The ghost. A three-dollar day,,,1964,,"Harmondworth, Eng. ; New York : Penguin Books",,,,"Plautus, Titus Maccius, author",The rope. Amphitryo. The ghost. A three-dollar day
Internet Archive,,"Catullus, Gaius Valerius",The poetry of Catullus,,,1967,,"New York, Orion Press",,,,"Catullus, Gaius Valerius",The poetry of Catullus
Internet Archive,,"Catullus, Gaius Valerius",The poems of Catullus. A bilingual edition,,,1969,,"Berkeley, University of California Press",,,,"Catullus, Gaius Valerius",The poems of Catullus. A bilingual edition
Internet Archive,,"Catullus, Gaius Valerius",Catullus: the complete poems for American readers,,,1970,,"New York, Dutton",,,,"Catullus, Gaius Valerius",Catullus: the complete poems for American readers
Internet Archive,,"Thomas, Aquinas, Saint","Summa theologiae. [Vol. 15, The world order (1a.110-19)",,,1970,,London : Blackfriars : Eyre & Spottiswoode,,,,"Thomas, Aquinas, Saint","Summa theologiae. [Vol. 15, The world order (1a.110-19)"
Internet Archive,,Tibullus,The poems of Tibullus: with the Tibullan Collection;,,,1972,,"Harmondsworth, Penguin",,,,Tibullus,The poems of Tibullus: with the Tibullan Collection;
Internet Archive,,Virgil,The pastoral poems : the text of the Eclogues,,,1972,,Harmondsworth : Penguin Books,,,,Virgil,The pastoral poems : the text of the Eclogues
Internet Archive,,"Erasmus, Desiderius, -1536","Utile dulce; or, Trueths libertie",,,1973,,Amsterdam : Theatrum Orbis Terrarum ; New York : Da Capo Press,,,,"Erasmus, Desiderius, -1536","Utile dulce; or, Trueths libertie"
Internet Archive,,Horace,The art of poetry,,,1974,,"Albany, State University of New York Press",,,,Horace,The art of poetry
Internet Archive,,"Thomas, Aquinas, Saint","Summa theologiae. [Vol. 31], [Faith (2a 2ae. 1-7)]",,,1974,,London : Blackfriars : Eyre and Spottiswoode,,,,"Thomas, Aquinas, Saint","Summa theologiae. [Vol. 31], [Faith (2a 2ae. 1-7)]"
Internet Archive,,"Thomas, Aquinas, Saint","Summa theologiae. [Vol. 7], [Father, Son and Holy Ghost (1a. 33-43)]",,,1976,,London : Blackfriars : Eyre and Spottiswoode,,,,"Thomas, Aquinas, Saint","Summa theologiae. [Vol. 7], [Father, Son and Holy Ghost (1a. 33-43)]"
Internet Archive,,"Bracton, Henry de, -1268",Bracton on the laws and customs of England,,,1977,,"Cambridge, Mass. : Published in association with the Selden Society, The Belknap Press of Harvard University Press",,,,"Bracton, Henry de, -1268",Bracton on the laws and customs of England
Internet Archive,,"Pliny, the Younger",Pliny : a selection of his letters,,,1978,,Cambridge ; New York : Cambridge University Press,,,,"Pliny, the Younger",Pliny : a selection of his letters
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.22: Letters to Atticus. Books 1-6 [Loeb 7],,,1912,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.22: Letters to Atticus. Books 1-6 [Loeb 7]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.21: De officiis [Loeb 30],,,1913,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.21: De officiis [Loeb 30]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.23: Letters to Atticus. Books 8-11 [Loeb 8],,,1913,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.23: Letters to Atticus. Books 8-11 [Loeb 8]
Internet Archive,,"Suetonius, Gaius (69-122)",Suetonius in two volumes. Vol.1 [Loeb 31],,,1913,,,,,,"Suetonius, Gaius (69-122)",Suetonius in two volumes. Vol.1 [Loeb 31]
Internet Archive,,"Caesar, Gaius Iulius (100-44 BCE)",Civil Wars [Loeb 39],,,1914,,,,,,"Caesar, Gaius Iulius (100-44 BCE)",Civil Wars [Loeb 39]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.17: De finibus bonorum et malorum [Loeb 40],,,1914,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.17: De finibus bonorum et malorum [Loeb 40]
Internet Archive,,"Suetonius, Gaius (69-122)",Suetonius in two volumes. Vol.2 [Loeb 38],,,1914,,,,,,"Suetonius, Gaius (69-122)",Suetonius in two volumes. Vol.2 [Loeb 38]
Internet Archive,,"Tacitus, Cornelius (55-120)","Tacitus in five volumes. Vol.1: Dialogus, Agricola, Germania [Loeb 35]",,,1914,,,,,,"Tacitus, Cornelius (55-120)","Tacitus in five volumes. Vol.1: Dialogus, Agricola, Germania [Loeb 35]"
Internet Archive,,"Caesar, Gaius Iulius (100-44 BCE)",Gallic war [Loeb 72],,,1917,,,,,,"Caesar, Gaius Iulius (100-44 BCE)",Gallic war [Loeb 72]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.24: Letters to Atticus. Books 12-16 [Loeb 97],,,1918,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.24: Letters to Atticus. Books 12-16 [Loeb 97]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)","Cicero in twenty eight volumes. Vol.20: De senectute, De amicitia, De divinatione [Loeb 154]",,,1923,,,,,,"Cicero, Marcus Tulius (106-43 BCE)","Cicero in twenty eight volumes. Vol.20: De senectute, De amicitia, De divinatione [Loeb 154]"
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.11: The Speeches: Pro Archia Poeta. Post reditum in senatu. Post reditum ad quirites. De domo sua. De haruspicum responsis. Pro Plancio [Loeb 158],,,1923,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.11: The Speeches: Pro Archia Poeta. Post reditum in senatu. Post reditum ad quirites. De domo sua. De haruspicum responsis. Pro Plancio [Loeb 158]
Internet Archive,,"Tacitus, Cornelius (55-120)","Tacitus in five volumes. Vol.2: The Histories, Books I-III [Loeb 111]",,,1925,,,,,,"Tacitus, Cornelius (55-120)","Tacitus in five volumes. Vol.2: The Histories, Books I-III [Loeb 111]"
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.15: Philippics [Loeb 189],,,1926,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.15: Philippics [Loeb 189]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.9: The Speeches: Pro lege Manilia. Pro Caecina. Pro Cluentio. Pro Rabirio. Perduellionis [Loeb 198],,,1927,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.9: The Speeches: Pro lege Manilia. Pro Caecina. Pro Cluentio. Pro Rabirio. Perduellionis [Loeb 198]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.18: Tusculan Disputations [Loeb 141],,,1927,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.18: Tusculan Disputations [Loeb 141]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.25: The Letters to his Friends. Books 1-6 [Loeb 205],,,1927,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.25: The Letters to his Friends. Books 1-6 [Loeb 205]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)","Cicero in twenty eight volumes. Vol.7: The Verrine Orations. Against Caecilius. Against Verres: Part One. Part Two, books 1-2 [Loeb 221]",,,1928,,,,,,"Cicero, Marcus Tulius (106-43 BCE)","Cicero in twenty eight volumes. Vol.7: The Verrine Orations. Against Caecilius. Against Verres: Part One. Part Two, books 1-2 [Loeb 221]"
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.16: De re publica. De legibus [Loeb 213],,,1928,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.16: De re publica. De legibus [Loeb 213]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.26: The Letters to his Friends. Books 7-12 [Loeb 216],,,1929,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.26: The Letters to his Friends. Books 7-12 [Loeb 216]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.27: The Letters to his Friends. Books 13-16 [Loeb 230],,,1929,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.27: The Letters to his Friends. Books 13-16 [Loeb 230]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.6: Pro Publio Quinctio. Pro Sexto Roscio Amerino. Pro Quinto Roscio Comoedo. De lege agraria I-III [Loeb 240],,,1930,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.6: Pro Publio Quinctio. Pro Sexto Roscio Amerino. Pro Quinto Roscio Comoedo. De lege agraria I-III [Loeb 240]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.14: Pro Milone. In Pisonem. Pro Scauro. Pro Fonteio. Pro Rabirio Postumo. Pro Marcello. Pro Ligario. Pro Rege Deiotaro [Loeb 252],,,1931,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.14: Pro Milone. In Pisonem. Pro Scauro. Pro Fonteio. Pro Rabirio Postumo. Pro Marcello. Pro Ligario. Pro Rege Deiotaro [Loeb 252]
Internet Archive,,"Tacitus, Cornelius (55-120)","Tacitus in five volumes. Vol.3: The Histories, Books IV-V. Annals, Books I-III [Loeb 249]",,,1931,,,,,,"Tacitus, Cornelius (55-120)","Tacitus in five volumes. Vol.3: The Histories, Books IV-V. Annals, Books I-III [Loeb 249]"
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.19: De Natura Deorum. Academica [Loeb 268],,,1933,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.19: De Natura Deorum. Academica [Loeb 268]
Internet Archive,,Ammianus Marcellinus (ca. 330 - ca. 400),Ammianus Marcellinus in three volumes. Vol.1: Books XIV-XIX [Loeb 300],,,1935,,,,,,Ammianus Marcellinus (ca. 330 - ca. 400),Ammianus Marcellinus in three volumes. Vol.1: Books XIV-XIX [Loeb 300]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.8: The Verrine orations. Against Verres: Part two. Books 3-5 [Loeb 293],,,1935,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.8: The Verrine orations. Against Verres: Part two. Books 3-5 [Loeb 293]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.10. In Catilinam I-IVol. Pro Murena. Pro Sulla. Pro Flacco [Loeb 324],,,1937,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.10. In Catilinam I-IVol. Pro Murena. Pro Sulla. Pro Flacco [Loeb 324]
Internet Archive,,"Tacitus, Cornelius (55-120)","Tacitus in five volumes. Vol.5: Annals, Books XIII-XVI [Loeb 322]",,,1937,,,,,,"Tacitus, Cornelius (55-120)","Tacitus in five volumes. Vol.5: Annals, Books XIII-XVI [Loeb 322]"
Internet Archive,,Ammianus Marcellinus (ca. 330 - ca. 400),Ammianus Marcellinus in three volumes. Vol.3: Books XXVII-XXXI [Loeb 331],,,1939,,,,,,Ammianus Marcellinus (ca. 330 - ca. 400),Ammianus Marcellinus in three volumes. Vol.3: Books XXVII-XXXI [Loeb 331]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.5: Brutus. Orator [Loeb 342],,,1939,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.5: Brutus. Orator [Loeb 342]
Internet Archive,,Ammianus Marcellinus (ca. 330 - ca. 400),Ammianus Marcellinus in three volumes. Vol.2: Books XX-XXVI [Loeb 315],,,1940,,,,,,Ammianus Marcellinus (ca. 330 - ca. 400),Ammianus Marcellinus in three volumes. Vol.2: Books XX-XXVI [Loeb 315]
Internet Archive,,Livy,History of Rome. Books XXIII-XXV,,,1940,,"Cambridge, Mass. : Harvard University Press",,,,Livy,History of Rome. Books XXIII-XXV
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.3: De Oratore. Books 1-2 [Loeb 348],,,1942,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.3: De Oratore. Books 1-2 [Loeb 348]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.28: The Letters to his brother Quintus. The Letters to Brutus. Letter to Octavian [Loeb 462],,,1954,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.28: The Letters to his brother Quintus. The Letters to Brutus. Letter to Octavian [Loeb 462]
Internet Archive,,"Caesar, Gaius Iulius (100-44 BCE)","Alexandrian, African and Spanish Wars [Loeb 402]",,,1955,,,,,,"Caesar, Gaius Iulius (100-44 BCE)","Alexandrian, African and Spanish Wars [Loeb 402]"
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.12: The Speeches: Pro Sestio and In Vatinium [Loeb 309],,,1958,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.12: The Speeches: Pro Sestio and In Vatinium [Loeb 309]
Internet Archive,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.13: Pro Caelio. De provinciis consularibus. Pro Balbo [Loeb 447],,,1958,,,,,,"Cicero, Marcus Tulius (106-43 BCE)",Cicero in twenty eight volumes. Vol.13: Pro Caelio. De provinciis consularibus. Pro Balbo [Loeb 447]
Internet Archive,,"Curtius Rufus, Quintus",Quintus Curtius [History of Alexander],,,1962,,"Cambridge, Harvard University Press",,,,"Curtius Rufus, Quintus",Quintus Curtius [History of Alexander]
Internet Archive,,"Swedenborg, Emanuel","The four leading doctrines of the New church : signified in the Revelation, chap. XXI by the New Jerusalem, being those respecting the Lord, His divine and human natures, and the divine Trinity; the s...",,,1838,,Boston : O. Clapp,,,,"Swedenborg, Emanuel","The four leading doctrines of the New church : signified in the Revelation, chap. XXI by the New Jerusalem, being those respecting the Lord, His divine and human natures, and the divine Trinity; the s..."
Internet Archive,,"Pusey, E. B. (Edward Bouverie)","Library of fathers of the Holy Catholic Church, Anterior to the Division of the East and West Volume 41: Rhythms of Saint Ephrem The Syrian. Select Works of S. Ephrem The Syrian, Translated Out of the...",,,1839,,Oxford : J. H. Parker,,,,"Pusey, E. B. (Edward Bouverie)","Library of fathers of the Holy Catholic Church, Anterior to the Division of the East and West Volume 41: Rhythms of Saint Ephrem The Syrian. Select Works of S. Ephrem The Syrian, Translated Out of the..."
Internet Archive,,,The New Testament of our Lord and Saviour Jesus Christ. Translated from the Latin Vulgate: and diligently compared with the original Greek,,,1850,,"New York, Hewett & Spooner",,,,,The New Testament of our Lord and Saviour Jesus Christ. Translated from the Latin Vulgate: and diligently compared with the original Greek
Internet Archive,,"Florence, of Worcester","The chronicle of Florence of Worcester with the two continuations; comprising annals of English history, from the departure of the Romans to the reign of Edward I. Translated from the Latin with notes...",,,1854,,London H.G. Bohn,,,,"Florence, of Worcester","The chronicle of Florence of Worcester with the two continuations; comprising annals of English history, from the departure of the Romans to the reign of Edward I. Translated from the Latin with notes..."
Internet Archive,,"Joint Committee of the General Council, the General Synod, and United Synod of the South, of the Evangelical Lutheran Church","The Augsburg Confesssion : translated from the Latin, in 1536,",,,1888,,Philadelphia : Lutheran Publication Society,,,,"Joint Committee of the General Council, the General Synod, and United Synod of the South, of the Evangelical Lutheran Church","The Augsburg Confesssion : translated from the Latin, in 1536,"
Internet Archive,,"Taverner, Richard, 1505?-1575, tr","The Augsburg Confession : translated from the Latin, in 1536,",,,1888,,Philadelphia : Lutheran Publication Society,,,,"Taverner, Richard, 1505?-1575, tr","The Augsburg Confession : translated from the Latin, in 1536,"
Internet Archive,,,"The Holy Bible translated from the Latin Vulgate : diligently compared with the Hebrew, Greek, and other editions in divers languages : the Old Testament first published by the English College at Doua...",,,1912,,"Souix City, IA : M. Fitzgibbon",,,,,"The Holy Bible translated from the Latin Vulgate : diligently compared with the Hebrew, Greek, and other editions in divers languages : the Old Testament first published by the English College at Doua..."
Internet Archive,,"Krause, J.M., tr","Love poems, translated from the Latin",,,1912,,"London, Kegan Paul",,,,"Krause, J.M., tr","Love poems, translated from the Latin"
Internet Archive,,"Callan, Charles J. (Charles Jerome), 1877-1962, ed. and tr","The Psalms, translated from the Latin Psalter, in the light of the Hebrew, of the Septuagint, and Peshitta versions, and of the Psalterium juxta Hebraeos of St. Jerome",,,1944,,"New York, J.F. Wagner; London, Herder",,,,"Callan, Charles J. (Charles Jerome), 1877-1962, ed. and tr","The Psalms, translated from the Latin Psalter, in the light of the Hebrew, of the Septuagint, and Peshitta versions, and of the Psalterium juxta Hebraeos of St. Jerome"
Internet Archive,,Catholic Church. Pope (1823-1829 : Leo XII),"The encyclical letter of Pope Leo the XII : to his venerable brethern, the patriarchs, primates, archbishops and bishops of the Catholic Church, with an English translation of the same : to which are ...",,,1824,,"Dublin : Richard Coyne ... publisher to the Roman Catholic Bishops of Ireland, and sold in London by Keating and Brown",,,,Catholic Church. Pope (1823-1829 : Leo XII),"The encyclical letter of Pope Leo the XII : to his venerable brethern, the patriarchs, primates, archbishops and bishops of the Catholic Church, with an English translation of the same : to which are ..."
Internet Archive,,"Cullen, William, 1710-1790. n 84806711",Synopsis nosologiae methodicae. To which is added an English translation with notes of the indications and treatment of the principle [sic] diseases,,,1827,,London : W. Jackson,,,,"Cullen, William, 1710-1790. n 84806711",Synopsis nosologiae methodicae. To which is added an English translation with notes of the indications and treatment of the principle [sic] diseases
Internet Archive,,"Burton, Edward",Testimonies of the ante-Nicene fathers to the divinity of Christ,,,1829,,"Oxford, The University Press",,,,"Burton, Edward",Testimonies of the ante-Nicene fathers to the divinity of Christ
Internet Archive,,"Conybeare, W.D. (William Daniel)","An analytical examination into the character, value, and just application of the writings of the Christian Fathers during the Ante-Nicene period : being the Bampton lectures for the year MDCCCXXXIX",,,1839,,Oxford : John Henry Parker [etc.],,,,"Conybeare, W.D. (William Daniel)","An analytical examination into the character, value, and just application of the writings of the Christian Fathers during the Ante-Nicene period : being the Bampton lectures for the year MDCCCXXXIX"
Internet Archive,,"Edersheim, Alfred",The Jubilee Rhythm of St. Bernard of Clairvaux on the name of Jesus and other hymns,,,1847,,London : J. Nisbet,,,,"Edersheim, Alfred",The Jubilee Rhythm of St. Bernard of Clairvaux on the name of Jesus and other hymns
